"품종코드","품종명","색상키워드","형태키워드","배경키워드","연출키워드","배경종류","렌즈타입","카메라앵글","프레임비율","조명톤","피사체비율","HDR강도","NegativePrompt","파라미터프리셋","참조이미지URL","샘플시드","활성화여부"
"LT","로메인상추","프레시, 내추럴","잎채소, 세로형","나무 테이블","물방울 맺힌","실사","50mm","Eye","1:1","Soft daylight","0.8","0.7","no text, watermark","{""control_strength"":0.7,""seed"":42}","https://brand.farmplow.kr/ref/romaine.jpg","42",TRUE
"BT","버터헤드","부드러운, 따뜻한","둥근잎, 소형","흰 배경","바구니에 담긴","단색","85mm","Top","3:4","Warm light","0.7","0.6","low quality, blur","{""control_strength"":0.6}","https://brand.farmplow.kr/ref/butterhead.jpg","77",TRUE
"SP","시금치","짙은녹색, 신선한","잎채소, 납작형","회색 천","물방울 반짝이는","실사","35mm","Eye","1:1","Backlight","0.85","0.8","shadow, noise","{""control_strength"":0.7, ""seed"":42, ""cfg"":6.5, ""sampler"":""Euler a""}","https://brand.woojungfresh.kr/ref/spinach.jpg","12",TRUE
"TO","토마토","붉은색, 신선한","채소열매,둥근형","흰 배경","나무 도마 위에 놓인","컬러배경","85mm","Top","3:4","Studio light","0.4","0.6","no text, watermark","{""control_strength"":0.8,""cfg"":7.2,""sampler"":""Heun"",""steps"":30,""contrast"":1.3,""sharpness"":0.5}","","",TRUE
